,training_examples,noise,sigma,acc
448,20,0.8888888888888888,0.1052641052631579,0.4
449,20,0.8888888888888888,0.1052641052631579,0.46
450,5,1.1111111111111112,0.1052641052631579,0.48
451,5,1.1111111111111112,0.1052641052631579,0.52
452,5,1.1111111111111112,0.1052641052631579,0.4
453,5,1.1111111111111112,0.1052641052631579,0.52
454,5,1.1111111111111112,0.1052641052631579,0.62
455,5,1.1111111111111112,0.1052641052631579,0.44
456,5,1.1111111111111112,0.1052641052631579,0.6
457,5,1.1111111111111112,0.1052641052631579,0.54
458,5,1.1111111111111112,0.1052641052631579,0.48
459,5,1.1111111111111112,0.1052641052631579,0.5
460,10,1.1111111111111112,0.1052641052631579,0.38
461,10,1.1111111111111112,0.1052641052631579,0.42
462,10,1.1111111111111112,0.1052641052631579,0.36
463,10,1.1111111111111112,0.1052641052631579,0.58
464,10,1.1111111111111112,0.1052641052631579,0.48
465,10,1.1111111111111112,0.1052641052631579,0.48
466,10,1.1111111111111112,0.1052641052631579,0.56
467,10,1.1111111111111112,0.1052641052631579,0.4
468,10,1.1111111111111112,0.1052641052631579,0.5
469,10,1.1111111111111112,0.1052641052631579,0.5
470,20,1.1111111111111112,0.1052641052631579,0.42
471,20,1.1111111111111112,0.1052641052631579,0.6
472,20,1.1111111111111112,0.1052641052631579,0.48
473,20,1.1111111111111112,0.1052641052631579,0.52
474,20,1.1111111111111112,0.1052641052631579,0.44
475,20,1.1111111111111112,0.1052641052631579,0.56
476,20,1.1111111111111112,0.1052641052631579,0.48
477,20,1.1111111111111112,0.1052641052631579,0.44
478,20,1.1111111111111112,0.1052641052631579,0.46
479,20,1.1111111111111112,0.1052641052631579,0.54
480,5,1.3333333333333333,0.1052641052631579,0.48
481,5,1.3333333333333333,0.1052641052631579,0.5
482,5,1.3333333333333333,0.1052641052631579,0.36
483,5,1.3333333333333333,0.1052641052631579,0.52
484,5,1.3333333333333333,0.1052641052631579,0.46
485,5,1.3333333333333333,0.1052641052631579,0.36
486,5,1.3333333333333333,0.1052641052631579,0.6
487,5,1.3333333333333333,0.1052641052631579,0.5
488,5,1.3333333333333333,0.1052641052631579,0.5
489,5,1.3333333333333333,0.1052641052631579,0.46
490,10,1.3333333333333333,0.1052641052631579,0.58
491,10,1.3333333333333333,0.1052641052631579,0.48
